Zone,1,2,3,Total
t307,1238.6223516246366,1626.4391598000002,325.74763972436375,3190.809151149
t308,1238.6223516246366,1626.4391598000002,132.9050370075404,2997.9665484321768
t309,1098.5040066018516,1626.4391598000002,268.22832915103777,2993.1714955528896
t310,1072.6347950368652,1626.4391598000002,189.8762612618352,2888.950216098701
t311,990.5033591342262,1626.4391598000002,132.9050370075404,2749.8475559417666
t312,990.5033591342262,1570.917262121376,325.74763972436375,2887.168260979966
t313,830.8413336245737,1415.3313637625647,325.74763972436375,2571.920337111502
t314,830.8413336245737,1312.2897431817407,325.74763972436375,2468.878716530678
t315,830.8413336245737,1261.2266399775033,325.74763972436375,2417.8156133264406
t316,830.8413336245737,1245.6667395552909,325.74763972436375,2402.255712904228
t317,830.8413336245737,1216.486303528263,325.74763972436375,2373.0752768772004
t318,830.8413336245737,1237.214657862146,325.74763972436375,2393.8036312110835
t319,830.8413336245737,442.91200287094824,132.9050370075404,1406.6583735030624
t320,411.11773837977375,442.91200287094824,132.9050370075404,986.9347782582624
t321,637.7089106073927,442.91200287094824,132.9050370075404,1213.5259504858814
t322,411.11773837977375,442.91200287094824,132.9050370075404,986.9347782582624
t323,830.8413336245737,442.91200287094824,132.9050370075404,1406.6583735030624
t324,830.8413336245737,442.91200287094824,132.9050370075404,1406.6583735030624
t325,830.8413336245737,442.91200287094824,132.9050370075404,1406.6583735030624
t326,830.8413336245737,442.91200287094824,132.9050370075404,1406.6583735030624
t327,830.8413336245737,442.91200287094824,132.9050370075404,1406.6583735030624
t328,830.8413336245737,442.91200287094824,132.9050370075404,1406.6583735030624
t329,830.8413336245737,442.91200287094824,132.9050370075404,1406.6583735030624
t330,839.7027670656386,732.2151608815022,433.36537820549796,2005.283306152639
t331,1486.5625697036749,1283.7508119133367,427.90240337937314,3198.2157849963846
t332,1801.6817363312257,1626.4391598000002,427.90240337937314,3856.023299510599
t333,1801.6817363312257,1626.4391598000002,373.7476418760626,3801.8685380072884
t334,1673.0224140573262,1626.4391598000002,427.90240337937314,3727.3639772366996
t335,1557.4763015762185,1626.4391598000002,427.90240337937314,3611.8178647555915
t336,1275.4114077957602,1626.4391598000002,427.90240337937314,3329.7529709751334
t337,814.2400614788678,1518.110047814633,427.90240337937314,2760.2525126728738
t338,749.6648894743671,1395.1883325058104,427.90240337937314,2572.7556253595503
t339,749.6648894743671,1330.931784891219,263.4228133022811,2344.0194876678675
t340,749.6648894743671,1017.8026153333086,0.0,1767.4675048076756
t341,749.6648894743671,748.7672141196238,0.0,1498.4321035939909
t342,749.6648894743671,882.42696712834,0.0,1632.0918566027071
t343,749.6648894743671,564.3743884506,0.0,1314.039277924967
t344,655.4958513078423,564.3743884506,0.0,1219.8702397584423
t345,324.7867939370871,564.3743884506,0.0,889.1611823876872
t346,744.510389181887,564.3743884506,0.0,1308.884777632487
t347,749.6648894743671,564.3743884506,0.0,1314.039277924967
t348,749.6648894743671,564.3743884506,0.0,1314.039277924967
t349,749.6648894743671,564.3743884506,0.0,1314.039277924967
t350,749.6648894743671,564.3743884506,0.0,1314.039277924967
t351,749.6648894743671,564.3743884506,0.0,1314.039277924967
t352,749.6648894743671,564.3743884506,0.0,1314.039277924967
t353,749.6648894743671,948.3397254253824,0.0,1698.0046148997494
t354,1345.5733044418696,1528.4446281974158,277.1314820262569,3151.1494146655423
t355,2791.3149268688167,1626.4391598000002,307.78137753957265,4725.535464208389
t356,2818.1268355336842,1626.4391598000002,307.78137753957265,4752.347372873257
t357,2659.6168970053836,1626.4391598000002,307.78137753957265,4593.837434344957
t358,2818.1268355336842,1626.4391598000002,307.78137753957265,4752.347372873257
t359,2818.1268355336842,1626.4391598000002,307.78137753957265,4752.347372873257
t360,2614.359737780784,1626.4391598000002,307.78137753957265,4548.580275120356
t361,736.35718464,891.6727998431398,0.0,1628.0299844831397
t362,736.35718464,669.8973246165095,0.0,1406.2545092565097
t363,736.35718464,480.8358325599328,0.0,1217.193017199933
t364,736.35718464,372.0297379167261,0.0,1108.3869225567262
t365,736.35718464,309.84307745888776,0.0,1046.2002620988878
t366,736.35718464,237.5540732207972,0.0,973.9112578607971
t367,736.35718464,423.45038498095806,0.0,1159.807569620958
t368,736.35718464,133.28689265275816,0.0,869.6440772927582
t369,316.6335893952001,0.0,0.0,316.6335893952001
t370,311.47908910272,0.0,0.0,311.47908910272
t371,311.47908910272,0.0,0.0,311.47908910272
t372,311.47908910272,0.0,0.0,311.47908910272
t373,311.47908910272,0.0,0.0,311.47908910272
t374,311.47908910272,0.0,0.0,311.47908910272
t375,316.6335893952001,0.0,0.0,316.6335893952001
t376,736.35718464,0.0,0.0,736.35718464
t377,736.35718464,606.9882555844214,0.0,1343.3454402244215
t378,736.35718464,666.2858945462027,0.0,1402.6430791862026
t379,736.35718464,666.2858945462027,0.0,1402.6430791862026
t380,736.35718464,666.2858945462027,0.0,1402.6430791862026
t381,736.35718464,666.2858945462027,0.0,1402.6430791862026
t382,736.35718464,666.2858945462027,0.0,1402.6430791862026
t383,736.35718464,666.2858945462027,0.0,1402.6430791862026
t384,736.35718464,666.2858945462027,0.0,1402.6430791862026
t385,736.35718464,489.7592842523425,0.0,1226.1164688923425
t386,736.35718464,63.336311742772736,0.0,799.6934963827728
t387,736.35718464,0.0,0.0,736.35718464
t388,736.35718464,0.0,0.0,736.35718464
t389,736.35718464,0.0,0.0,736.35718464
t390,736.35718464,0.0,0.0,736.35718464
t391,736.35718464,0.0,0.0,736.35718464
t392,736.35718464,0.0,0.0,736.35718464
t393,316.6335893952001,0.0,0.0,316.6335893952001
t394,311.47908910272,0.0,0.0,311.47908910272
t395,311.47908910272,0.0,0.0,311.47908910272
t396,311.47908910272,0.0,0.0,311.47908910272
t397,311.47908910272,0.0,0.0,311.47908910272
t398,311.47908910272,0.0,0.0,311.47908910272
t399,311.47908910272,0.0,0.0,311.47908910272
t400,316.6335893952001,0.0,0.0,316.6335893952001
t401,736.35718464,248.98786621431998,0.0,985.34505085432
t402,736.35718464,1175.1215082814672,0.0,1911.4786929214672
t403,736.35718464,1256.3111555654411,0.0,1992.6683402054412
t404,736.35718464,1256.3111555654411,0.0,1992.6683402054412
t405,736.35718464,1256.3111555654411,0.0,1992.6683402054412
t406,736.35718464,1256.3111555654411,0.0,1992.6683402054412
t407,736.35718464,1256.3111555654411,0.0,1992.6683402054412
t408,736.35718464,1234.4263020480582,0.0,1970.7834866880582
t409,736.35718464,606.2168046488647,0.0,1342.5739892888646
t410,736.35718464,506.68502534430417,0.0,1243.0422099843042
t411,736.35718464,371.689290334554,0.0,1108.046474974554
t412,736.35718464,371.689290334554,0.0,1108.046474974554
t413,736.35718464,371.689290334554,0.0,1108.046474974554
t414,736.35718464,371.689290334554,0.0,1108.046474974554
t415,736.35718464,771.1686008182112,0.0,1507.5257854582112
t416,736.35718464,685.5364432683417,0.0,1421.8936279083418
t417,736.35718464,0.0,0.0,736.35718464
t418,316.6335893952001,0.0,0.0,316.6335893952001
t419,311.47908910272,0.0,0.0,311.47908910272
t420,311.47908910272,0.0,0.0,311.47908910272
t421,311.47908910272,0.0,0.0,311.47908910272
t422,311.47908910272,0.0,0.0,311.47908910272
t423,311.47908910272,0.0,0.0,311.47908910272
t424,316.6335893952001,0.0,0.0,316.6335893952001
t425,736.35718464,836.476389472165,0.0,1572.833574112165
t426,1128.0348875189138,1584.5540097206301,0.0,2712.588897239544
t427,1179.6293974537248,1626.4391598000002,0.0,2806.068557253725
t428,1179.6293974537248,1626.4391598000002,0.0,2806.068557253725
t429,1179.6293974537248,1626.4391598000002,0.0,2806.068557253725
t430,1179.6293974537248,1626.4391598000002,0.0,2806.068557253725
t431,1179.6293974537248,1626.4391598000002,0.0,2806.068557253725
t432,1020.0514008407837,1604.4212107305218,0.0,2624.4726115713056
t433,736.35718464,1460.5106650851155,0.0,2196.867849725116
t434,736.35718464,1265.74409303266,0.0,2002.10127767266
t435,736.35718464,1033.9698780336587,0.0,1770.3270626736587
t436,736.35718464,1085.700288119378,0.0,1822.057472759378
t437,736.35718464,980.4677203444073,0.0,1716.8249049844073
t438,736.35718464,1169.5992506190569,0.0,1905.956435259057
t439,736.35718464,1370.1861908852272,0.0,2106.543375525227
t440,736.35718464,1452.3666372867378,0.0,2188.723821926738
t441,736.35718464,564.3743884506,0.0,1300.7315730906
t442,316.6335893952001,564.3743884506,0.0,881.0079778458
t443,311.47908910272,564.3743884506,0.0,875.8534775533201
t444,311.47908910272,564.3743884506,0.0,875.8534775533201
t445,311.47908910272,564.3743884506,0.0,875.8534775533201
t446,316.6335893952001,564.3743884506,0.0,881.0079778458
t447,736.35718464,564.3743884506,0.0,1300.7315730906
t448,1370.846857898361,974.7050169294045,503.59840272,2849.1502775477657
t449,1793.7648391078824,1606.5159524075038,559.2948480000001,3959.5756395153862
t450,1752.4375047968083,1626.4391598000002,559.2948480000001,3938.1715125968085
t451,1752.4375047968083,1626.4391598000002,559.2948480000001,3938.1715125968085
t452,1752.4375047968083,1626.4391598000002,559.2948480000001,3938.1715125968085
t453,1652.6447021067772,1626.4391598000002,559.2948480000001,3838.378709906777
t454,1752.4375047968083,1626.4391598000002,243.36330662082833,3622.2399712176366
t455,1258.3521711157841,1626.4391598000002,0.0,2884.7913309157843
t456,1463.0345988560505,1626.4391598000002,0.0,3089.4737586560504
t457,831.2231558851282,1582.343720929192,0.0,2413.56687681432
t458,736.35718464,1267.9627892348988,0.0,2004.3199738748988
t459,736.35718464,1281.4232893678247,0.0,2017.7804740078248
t460,736.35718464,1163.35131776287,0.0,1899.70850240287
t461,736.35718464,1046.2009356216413,0.0,1782.5581202616413
t462,736.35718464,1250.0378895341973,0.0,1986.3950741741974
