Field,Value
ivc.JPD,"[[0.0, 0.0, 0.0, 0.02, 0.03, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.02, 0.46, 1.49, 2.68, 1.91, 1.1, 0.53, 0.17, 0.02, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.01, 0.59, 4.11, 5.56, 4.48, 2.74, 1.28, 0.67, 0.33, 0.07, 0.02, 0.02, 0.0, 0.0, 0.0], [0.0, 0.12, 3.27, 5.14, 4.62, 3.93, 2.11, 1.24, 0.76, 0.31, 0.1, 0.03, 0.0, 0.0, 0.0], [0.0, 0.0, 0.92, 5.25, 3.68, 4.14, 2.87, 1.31, 0.84, 0.42, 0.2, 0.08, 0.02, 0.0, 0.0], [0.0, 0.0, 0.14, 2.43, 2.6, 2.82, 2.85, 1.57, 0.8, 0.32, 0.14, 0.06, 0.02, 0.0, 0.0], [0.0, 0.0, 0.0, 0.45, 1.54, 1.47, 1.96, 1.42, 0.79, 0.32, 0.11, 0.04, 0.02, 0.01, 0.01], [0.0, 0.0, 0.0, 0.05, 0.49, 0.63, 1.08, 1.01, 0.63, 0.29, 0.1, 0.05, 0.02, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.09, 0.21, 0.45, 0.56, 0.42, 0.21, 0.07, 0.02, 0.02, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.02, 0.08, 0.12, 0.26, 0.27, 0.19, 0.07, 0.02, 0.01, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.03, 0.03, 0.11, 0.15, 0.13, 0.07, 0.02, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.02, 0.07, 0.05, 0.05, 0.02, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.03, 0.04, 0.02, 0.01, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.02, 0.02, 0.0, 0.0, 0.0, 0.0]]"
ivc.Hs,"[0.25, 0.75, 1.25, 1.75, 2.25, 2.75, 3.25, 3.75, 4.25, 4.75, 5.25, 5.75, 6.25, 6.75]"
ivc.Hs_struct,11.9
ivc.T,"[4.5, 5.5, 6.5, 7.5, 8.5, 9.5, 10.5, 11.5, 12.5, 13.5, 14.5, 15.5, 16.5, 17.5, 18.5]"
ivc.T_struct,17.1
ivc.sigma_y,"[248211252.0, 31026406.5, 206842710.0]"
ivc.rho_m,"[8000.0, 2400.0, 8000.0]"
ivc.E,"[200000000000.0, 27850676.1587578, 200000000000.0]"
ivc.cost_m,"[4.28, 0.06812242808929127, 4.048]"
ivc.m_scale,1.25
ivc.t_ft,0.0127
ivc.t_fr,0.011176
ivc.t_fc,0.011176
ivc.t_fb,0.014224
ivc.t_sr,0.0254
ivc.t_dt,0.0254
ivc.D_dt,1.2191999999999998
ivc.theta_dt,0.8621700546672264
ivc.FOS_min,1.5
ivc.D_d_min,30.0
ivc.FCR,0.113
ivc.N_WEC,100.0
ivc.D_d_over_D_s,5.0
ivc.T_s_over_D_s,5.833333333333333
ivc.T_s_over_D_s,5.833333333333333
ivc.h_d_over_D_s,0.004233333333333333
ivc.T_f_over_h_f,0.5
ivc.LCOE_max,1.0
ivc.power_max,inf
ivc.eff_pto,0.8
ivc.eff_array,0.9309999999999999
ivc.s_points,0.17641657642299996
ivc.f_points,6.375740909087548
ivc.d_points,60.44128387234
ivc.SCC,0.133
ivc.distance,100.0
outcomeComponent.g_0,0.32842588391403
outcomeComponent.g_1,0.6715741160859701
outcomeComponent.g_2,0.4263557784855689
outcomeComponent.g_3,0.5736442215144311
outcomeComponent.g_4,11.200199746198876
outcomeComponent.g_5,1.0538957824425168
outcomeComponent.g_6,3.6507833086008796
outcomeComponent.g_7,486.68563224225835
outcomeComponent.g_8,59.61811381580109
outcomeComponent.g_9,986587.0159816134
outcomeComponent.g_10,0.0
outcomeComponent.g_11,-0.0055165980599816145
outcomeComponent.g_12,12.086750888367261
outcomeComponent.g_13,0.2686986931003872
ratioComponent.D_s,6.0
ratioComponent.h_f,4.0
ratioComponent.T_f,2.0
ratioComponent.D_d,30.0
ratioComponent.T_s,35.0
ratioComponent.h_d,0.0254
ratioComponent.h_s,44.0
structureComponent.FOS1Y,3.080843673663775
structureComponent.FOS2Y,6.976174962901319
structureComponent.FOS3Y,731.5284483633875
structureComponent.FOS_buckling,90.92717072370164
